,City,Cloudiness(%),Country,Date,Humidity(%),Lat,Lng,Max Temp(F),Wind Speed(mph)
287,Usinsk,93,RU,Jul/22/2019,87,66,57.56,57.41,17.02
288,Storforshei,31,NO,Jul/22/2019,93,66.4,14.52,57,1.01
289,Leningradskiy,84,RU,Jul/22/2019,89,69.38,178.42,38.87,7.09
290,Port Lincoln,44,AU,Jul/22/2019,70,-34.72,135.86,57.95,33.22
291,Iquitos,20,PE,Jul/22/2019,83,-3.75,-73.25,80.6,1.48
292,Veraval,0,FR,Jul/22/2019,77,49.65,0.71,66,5.82
293,Kayerkan,75,RU,Jul/22/2019,93,69.35,87.76,55.4,15.66
294,Romodanovo,5,RU,Jul/22/2019,89,54.42,45.33,54.53,3.2
295,Lata,7,IN,Jul/22/2019,86,30.78,78.62,40.85,2.53
296,Rome,0,IT,Jul/22/2019,60,41.89,12.48,77,2.24
297,Xuddur,19,SO,Jul/22/2019,61,4.12,43.89,70.73,23.15
298,Havre-Saint-Pierre,20,CA,Jul/22/2019,76,50.23,-63.6,57.2,11.41
299,Lagoa,0,PT,Jul/22/2019,78,37.14,-8.45,75.2,3.36
300,Mandera,35,ET,Jul/22/2019,61,3.94,41.86,82,1.99
301,Luanda,8,AO,Jul/22/2019,100,-8.83,13.24,68,5.82
302,Geraldton,75,CA,Jul/22/2019,100,49.72,-86.95,59,3.36
303,Mwinilunga,0,ZM,Jul/22/2019,59,-11.73,24.43,50.57,3.6
304,Itatskiy,0,RU,Jul/22/2019,92,56.07,89.04,51.11,2.93
305,Kaa-Khem,65,RU,Jul/22/2019,64,51.7,94.56,59.03,6.2
306,Bud,100,NO,Jul/22/2019,87,62.91,6.91,60.8,5.82
307,Buala,92,SB,Jul/22/2019,77,-8.15,159.59,82.43,8.43
308,Daru,100,PG,Jul/22/2019,87,-9.07,143.21,77.57,10.18
309,Arica,90,CL,Jul/22/2019,77,-18.48,-70.32,60.8,6.93
310,Severo-Kurilsk,100,RU,Jul/22/2019,95,50.68,156.12,46.07,13.67
311,Kahului,75,US,Jul/22/2019,51,20.89,-156.47,86,13.87
312,Vardo,90,US,Jul/22/2019,100,39.62,-77.74,79,6.93
313,Tulun,81,RU,Jul/22/2019,85,54.56,100.58,62.81,1.25
314,Beira,0,ES,Jul/22/2019,93,43.2,-8.36,69.01,2.24
315,Arroyos y Esteros,75,PY,Jul/22/2019,73,-25.05,-57.1,73.4,5.37
316,Machiques,94,VE,Jul/22/2019,95,10.06,-72.55,58.85,2.21
317,Kendari,3,ID,Jul/22/2019,76,-3.99,122.52,75.23,2.62
318,San Patricio,96,PY,Jul/22/2019,78,-26.98,-56.83,69.65,2.73
319,Coquimbo,0,CL,Jul/22/2019,71,-29.95,-71.34,51.8,4.7
320,San Quintin,31,PH,Jul/22/2019,77,17.54,120.52,79.55,2.77
321,Katima Mulilo,0,NA,Jul/22/2019,68,-17.5,24.28,52.55,6.58
322,Basco,1,US,Jul/22/2019,53,40.33,-91.2,78.8,8.05
323,Alugan,96,PH,Jul/22/2019,75,12.22,125.48,82.43,3.47
324,Ferrol,0,ES,Jul/22/2019,93,43.48,-8.23,69.01,2.24
325,Nakamura,75,JP,Jul/22/2019,83,35.17,136.87,87.01,6.93
326,La Roda,0,ES,Jul/22/2019,43,39.21,-2.16,75.99,8.05
327,New Norfolk,75,AU,Jul/22/2019,66,-42.78,147.06,51.01,8.05
328,Sitka,14,US,Jul/22/2019,43,37.17,-99.65,82,4
329,Grindavik,75,IS,Jul/22/2019,100,63.84,-22.43,55.4,5.82
330,Almaznyy,0,RU,Jul/22/2019,77,48.03,40.04,64.4,2.24
331,Labuhan,3,ID,Jul/22/2019,73,-2.54,115.51,74.69,0.63
332,Lubango,0,AO,Jul/22/2019,82,-14.92,13.49,58.13,2.86
333,Kentau,0,KZ,Jul/22/2019,25,43.52,68.5,73.61,8.93
334,Panaba,1,MX,Jul/22/2019,75,21.28,-88.27,82.97,12.01
335,Puerto Carreno,40,CO,Jul/22/2019,78,6.19,-67.49,82.4,3.29
336,Kokopo,94,PG,Jul/22/2019,69,-4.34,152.27,82.25,2.42
337,Crixas,68,BR,Jul/22/2019,45,-14.55,-49.97,72.53,4.85
338,Krasnyy Chikoy,100,RU,Jul/22/2019,97,50.36,108.75,57.95,3.09
339,Kargasok,49,RU,Jul/22/2019,76,59.06,80.87,59.03,1.63
340,Cangzhou,95,CN,Jul/22/2019,86,38.3,116.85,79.73,4.21
341,Saint George,0,GR,Jul/22/2019,64,39.45,22.34,80.01,1.81
342,Nadym,50,RU,Jul/22/2019,68,65.53,72.51,58.85,14.58
343,Port Hedland,19,AU,Jul/22/2019,19,-20.31,118.58,68,10.29
344,Naze,69,NG,Jul/22/2019,98,5.43,7.07,71.99,4.23
345,Laureles,40,MX,Jul/22/2019,35,29.18,-110.87,102.2,8.05
346,Saint-Joseph,0,FR,Jul/22/2019,78,43.56,6.97,78.8,3.36
347,Plettenberg Bay,0,ZA,Jul/22/2019,39,-34.05,23.37,58.67,7.16
348,Beringovskiy,100,RU,Jul/22/2019,77,63.05,179.32,48.77,2.42
349,Saint-Jovite,75,CA,Jul/22/2019,82,46.12,-74.6,64.4,2.24
350,George Town,75,MY,Jul/22/2019,83,5.42,100.33,80.6,3.36
351,Ambalavao,1,MG,Jul/22/2019,88,-21.83,46.94,45.35,4.25
352,Turbo,75,CO,Jul/22/2019,88,8.09,-76.73,77,9.17
353,Altensteig,89,DE,Jul/22/2019,88,48.59,8.61,70,1.59
354,Funadhoo,100,MV,Jul/22/2019,78,6.15,73.27,82.97,13.42
355,Ratnagiri,100,IN,Jul/22/2019,90,16.98,73.3,79.55,18.97
356,Srivardhan,100,IN,Jul/22/2019,88,18.03,73.02,80.63,9.57
357,Ponta Delgada,75,PT,Jul/22/2019,100,37.73,-25.67,69.8,8.05
358,La Sarre,65,CA,Jul/22/2019,71,48.8,-79.2,54.17,9.64
359,Khasan,9,RU,Jul/22/2019,69,42.43,130.64,80.63,3.91
360,Saint-Pierre,0,FR,Jul/22/2019,68,48.95,4.24,66.2,5.82
361,Zyryanka,100,RU,Jul/22/2019,76,65.73,150.89,43.55,13.98
362,Chalchihuites,95,MX,Jul/22/2019,62,23.48,-103.88,65.69,10.25
363,Sao Joao da Barra,15,BR,Jul/22/2019,95,-21.64,-41.05,64.43,2.82
364,Klaebu,0,NO,Jul/22/2019,64,63.3,10.48,68,17.22
365,Vestmannaeyjar,100,IS,Jul/22/2019,90,63.44,-20.27,53.81,7.78
366,Cesvaine,98,LV,Jul/22/2019,94,56.97,26.31,57.05,5.91
367,Kruisfontein,0,ZA,Jul/22/2019,39,-34,24.73,51.83,5.77
368,Katete,48,UG,Jul/22/2019,80,-0.78,29.75,61.37,2.86
369,Faya,0,SA,Jul/22/2019,59,18.39,42.45,69.8,3.18
370,Hofn,98,IS,Jul/22/2019,95,64.25,-15.21,40.85,9.86
371,Kamenka,81,MD,Jul/22/2019,92,48.03,28.7,57.99,4.7
372,Linares,0,CL,Jul/22/2019,83,-35.85,-71.6,41.75,10.02
373,San Policarpo,61,PH,Jul/22/2019,76,12.18,125.51,81.53,5.53
374,Santa Rosa de Aguan,81,HN,Jul/22/2019,83,15.95,-85.71,82.25,22.01
375,Road Town,40,VG,Jul/22/2019,70,18.42,-64.62,84.2,10.29
376,Oistins,40,BB,Jul/22/2019,83,13.07,-59.53,80.6,17.22
377,Suamico,1,US,Jul/22/2019,46,44.63,-88.04,77,3.36
378,La Reforma,75,MX,Jul/22/2019,52,25.08,-108.06,93.2,11.41
379,Salinas,1,US,Jul/22/2019,50,36.67,-121.66,91,10.29
380,Fagernes,100,NO,Jul/22/2019,87,60.99,9.24,54,2.06
381,Kodinsk,26,RU,Jul/22/2019,67,58.6,99.18,65.87,3.09
382,Ahipara,29,NZ,Jul/22/2019,97,-35.17,173.16,64.99,3
383,Ostrovnoy,14,RU,Jul/22/2019,62,68.05,39.51,47.87,7.02
384,Wattegama,100,LK,Jul/22/2019,90,7.35,80.68,71.63,5.68
385,Am Timan,100,TD,Jul/22/2019,91,11.04,20.28,73.79,4.07
386,Nuevo Imperial,36,PE,Jul/22/2019,88,-13.08,-76.32,58.49,11.25
387,Ludlow,75,US,Jul/22/2019,100,39.09,-84.55,71.01,5.82
388,Miram Shah,0,PK,Jul/22/2019,57,33.01,70.07,81.17,2.73
389,Flin Flon,69,CA,Jul/22/2019,27,54.77,-101.88,84.95,8.81
390,Sobolevo,100,RU,Jul/22/2019,99,54.43,31.9,59.75,2.24
391,Acajutla,100,SV,Jul/22/2019,66,13.59,-89.83,85.13,2.73
392,Awjilah,0,LY,Jul/22/2019,63,29.14,21.3,74.51,11.88
393,Necochea,0,AR,Jul/22/2019,95,-38.55,-58.74,37.99,1.01
394,Gamba,55,CN,Jul/22/2019,77,28.28,88.52,43.37,2.26
395,Sampang,38,ID,Jul/22/2019,87,-7.54,109.46,70.19,1.97
396,Sakaiminato,75,JP,Jul/22/2019,70,35.55,133.23,84.2,17.22
397,Quatre Cocos,68,MU,Jul/22/2019,86,-20.21,57.76,66,14.79
398,Los Llanos de Aridane,90,ES,Jul/22/2019,64,28.66,-17.92,71.6,11.41
399,Vorukh,0,KG,Jul/22/2019,38,39.85,70.57,71.27,3.15
400,Bako,7,BF,Jul/22/2019,61,12.29,-0.73,81.53,9.17
401,Bagotville,0,AU,Jul/22/2019,64,-28.98,153.42,68,5.82
402,Rocha,89,UY,Jul/22/2019,80,-34.48,-54.34,49.13,10.33
403,Quelimane,15,MZ,Jul/22/2019,85,-17.88,36.89,57.95,3.04
404,Samarai,91,PG,Jul/22/2019,91,-10.62,150.67,75.23,8.9
405,Banda Aceh,96,ID,Jul/22/2019,68,5.56,95.32,83.33,6.15
406,Ponta do Sol,83,BR,Jul/22/2019,71,-20.63,-46,60.47,6.15
407,Soyo,0,AO,Jul/22/2019,90,-6.13,12.37,71.09,7.81
408,Hualmay,18,PE,Jul/22/2019,88,-11.1,-77.61,61.55,18.19
409,Baykit,42,RU,Jul/22/2019,54,61.68,96.39,62.45,5.39
410,Hammerfest,20,NO,Jul/22/2019,93,70.66,23.68,55.4,9.17
411,Mporokoso,0,ZM,Jul/22/2019,85,-9.37,30.12,50.93,6.89
412,Srednekolymsk,100,RU,Jul/22/2019,90,67.46,153.71,40.13,11.9
413,Vanavara,10,RU,Jul/22/2019,59,60.35,102.28,62.99,5.75
414,Harwich,90,US,Jul/22/2019,94,41.69,-70.08,75,6.93
415,Soure,90,PT,Jul/22/2019,93,40.06,-8.63,64.99,5.82
416,Marietta,1,US,Jul/22/2019,61,33.95,-84.55,87.8,3.36
417,Maholi,21,IN,Jul/22/2019,54,27.65,80.48,89.27,3.09
418,Waipawa,100,NZ,Jul/22/2019,95,-39.94,176.59,51.01,1.12
419,Astoria,1,US,Jul/22/2019,72,46.19,-123.83,79,11.41
420,Flinders,0,AU,Jul/22/2019,36,-34.58,150.85,66,16.11
421,Kavieng,48,PG,Jul/22/2019,82,-2.57,150.8,81.71,13.35
422,Hanzhong,35,CN,Jul/22/2019,76,33.08,107.03,72.71,1.39
423,Leh,0,IN,Jul/22/2019,43,34.16,77.58,41.75,1.25
424,Chimbote,28,PE,Jul/22/2019,90,-9.08,-78.59,62.27,14.5
425,Ihosy,50,MG,Jul/22/2019,93,-22.4,46.13,47.33,12.53
426,Palmas,0,BR,Jul/22/2019,42,-10.18,-48.33,75.05,3.67
427,Prince Rupert,20,CA,Jul/22/2019,72,54.32,-130.32,66.2,10.29
428,Mega,73,ET,Jul/22/2019,54,4.06,38.32,70.91,12.88
429,Sedan,100,FR,Jul/22/2019,64,49.7,4.94,68,1.12
430,Dakar,40,SN,Jul/22/2019,78,14.69,-17.45,78.8,4.7
431,Campoverde,40,EC,Jul/22/2019,76,-0.91,-78.62,51.8,13.87
432,Katsuura,40,JP,Jul/22/2019,88,33.93,134.5,84.2,4.7
433,Jacareacanga,2,BR,Jul/22/2019,60,-6.22,-57.76,78.65,0.65
434,Santa Maria,0,BR,Jul/22/2019,59,-16.02,-48.01,66.2,5.82
435,Ranong,20,TH,Jul/22/2019,100,9.96,98.62,77,6.73
436,Sibolga,99,ID,Jul/22/2019,77,1.74,98.78,80.45,0.56
437,Tucuman,0,PE,Jul/22/2019,49,-17.17,-70.89,53.27,4.32
438,Seoul,90,KR,Jul/22/2019,94,37.57,126.98,82.4,1.12
439,Pilar,0,AR,Jul/22/2019,50,-34.46,-58.91,55.4,4.7
440,Chapleau,75,CA,Jul/22/2019,50,47.85,-83.4,68,6.93
441,Praya,75,ID,Jul/22/2019,88,-8.71,116.27,75.2,6.93
442,Samana,38,EC,Jul/22/2019,97,0.12,-76.97,71.09,1.19
443,Blenheim,0,NZ,Jul/22/2019,80,-41.52,173.96,59,1.99
444,Cockburn Town,4,TC,Jul/22/2019,79,21.46,-71.14,82.43,18.21
445,Murray Bridge,2,AU,Jul/22/2019,79,-35.12,139.28,59,15.01
446,Clyde River,1,CA,Jul/22/2019,87,70.47,-68.59,42.8,12.75
447,Farafangana,94,MG,Jul/22/2019,89,-22.82,47.83,57.41,3.98
448,Taoudenni,2,ML,Jul/22/2019,9,22.68,-3.98,97.55,9.44
449,Kidal,85,ML,Jul/22/2019,40,18.44,1.41,88.37,13.56
450,Saint-Raymond,1,CA,Jul/22/2019,59,46.89,-71.84,69.01,2.24
451,Mayor Pablo Lagerenza,90,PY,Jul/22/2019,39,-19.93,-60.77,79.19,6.58
452,Marsa Matruh,0,EG,Jul/22/2019,78,31.35,27.25,75.2,5.82
453,Sao Jose da Coroa Grande,1,BR,Jul/22/2019,94,-8.9,-35.15,69.83,5.12
454,Lima,90,PE,Jul/22/2019,82,-12.06,-77.04,62.6,9.17
455,Victoria,75,BN,Jul/22/2019,83,5.28,115.24,80.6,6.93
456,Krasnyy Yar,3,RU,Jul/22/2019,80,50.7,44.73,59.03,3.18
457,Darab,19,IR,Jul/22/2019,46,28.75,54.55,69.11,3.24
458,La Ronge,20,CA,Jul/22/2019,45,55.1,-105.3,82.4,9.17
459,Kpandae,37,GH,Jul/22/2019,81,8.46,-0.01,75.95,7.72
460,Butterworth,75,MY,Jul/22/2019,83,5.4,100.37,80.6,3.36
461,Marawi,100,PH,Jul/22/2019,84,8,124.29,78.01,5.99
462,Cottonwood,60,US,Jul/22/2019,44,34.74,-112.01,100.99,12.75
463,Kilindoni,22,TZ,Jul/22/2019,67,-7.91,39.67,76.49,28.43
464,Mariveles,75,PH,Jul/22/2019,83,14.48,120.48,84,1.12
465,San Jeronimo,9,PE,Jul/22/2019,93,-13.65,-73.37,47.15,4.29
466,Souillac,0,FR,Jul/22/2019,54,45.6,-0.6,80.6,5.82
467,Mufumbwe,0,ZM,Jul/22/2019,56,-13.68,24.8,53.09,7.43
468,Coihaique,40,CL,Jul/22/2019,65,-45.58,-72.07,41,3.36
469,Naples,0,IT,Jul/22/2019,78,40.84,14.25,80.01,2.24
470,Jefferson City,1,US,Jul/22/2019,51,38.58,-92.17,80.6,13.87
471,Sioux Lookout,75,CA,Jul/22/2019,77,50.1,-91.92,66.2,6.93
472,Chalus,40,IR,Jul/22/2019,83,36.66,51.42,77,4.7
473,Pokhvistnevo,0,RU,Jul/22/2019,96,53.65,52.12,52.55,5.21
474,Margate,75,AU,Jul/22/2019,61,-43.03,147.26,51.01,8.05
475,Bolgatanga,43,GH,Jul/22/2019,75,10.79,-0.85,77.21,6.78
476,Torbay,20,CA,Jul/22/2019,93,47.66,-52.73,59,5.82
477,Budesti,99,RO,Jul/22/2019,77,44.23,26.47,73.99,2.24
478,Solton,82,RU,Jul/22/2019,82,52.84,86.48,57.05,1.74
479,Nakatsugawa,40,JP,Jul/22/2019,88,35.49,137.5,87.01,1.12
480,Massa Marittima,0,IT,Jul/22/2019,69,43.05,10.89,80.01,4.7
481,Boa Vista,40,BR,Jul/22/2019,88,2.82,-60.67,77,2.24
482,Tyret Pervaya,99,RU,Jul/22/2019,80,53.67,102.31,64.25,1.39
483,Vestmanna,60,FO,Jul/22/2019,100,62.16,-7.17,51.8,4.7
484,Santiago,59,PH,Jul/22/2019,82,16.69,121.54,78.47,0.98
485,Tura,73,RU,Jul/22/2019,56,64.27,100.22,65.87,4.05
486,Porto Novo,0,BR,Jul/22/2019,64,-23.68,-45.44,68,3.36
487,Bandarbeyla,20,SO,Jul/22/2019,51,9.49,50.81,78.47,27.16
488,Jining,89,CN,Jul/22/2019,66,35.41,116.58,88.37,10.02
489,Sedhiou,95,SN,Jul/22/2019,88,12.71,-15.56,78.8,4.7
490,Paso de Carrasco,0,UY,Jul/22/2019,81,-34.86,-56.05,54,8.05
491,Svetlogorsk,40,RU,Jul/22/2019,67,53.14,59.15,62.6,11.18
492,Singkang,75,MY,Jul/22/2019,88,2.1,102.8,77,4.7
493,Evensk,41,RU,Jul/22/2019,39,61.92,159.24,52.91,12.57
494,Batagay-Alyta,15,RU,Jul/22/2019,44,67.8,130.41,56.15,3.62
495,Palmerston,0,AU,Jul/22/2019,53,-12.49,130.99,78.01,8.05
496,Okoneshnikovo,0,RU,Jul/22/2019,88,54.84,75.08,55.61,5.12
497,Slupsk,99,PL,Jul/22/2019,85,54.46,17.03,59.21,5.53
498,Hunchun,28,CN,Jul/22/2019,70,42.86,130.36,79.19,2.48
499,Kapit,100,MY,Jul/22/2019,97,2.02,112.94,73.07,1.34
500,Pitmedden,41,GB,Jul/22/2019,82,57.34,-2.18,64.4,4.7
501,Valle de Allende,100,MX,Jul/22/2019,33,26.94,-105.39,80.63,12.21
502,Arlit,0,NE,Jul/22/2019,25,18.74,7.39,97.37,12.68
503,Ruwi,0,OM,Jul/22/2019,83,23.6,58.55,84.2,2.24
504,Strezhevoy,25,RU,Jul/22/2019,93,60.73,77.6,57.2,4.47
505,Contamana,39,PE,Jul/22/2019,61,-7.35,-75.01,79.37,1.52
506,Denpasar,74,ID,Jul/22/2019,79,-8.65,115.22,72.71,7.61
507,Khash,6,IR,Jul/22/2019,28,28.22,61.21,68.75,4.61
508,Beloit,1,US,Jul/22/2019,44,39.46,-98.11,78.8,14.99
509,Mao,40,DO,Jul/22/2019,78,19.55,-71.08,84.2,11.41
510,Egvekinot,100,RU,Jul/22/2019,89,66.32,-179.17,45.53,6.24
511,Yumen,49,CN,Jul/22/2019,43,40.29,97.04,71.45,11.3
512,Omsukchan,100,RU,Jul/22/2019,83,62.53,155.8,33.29,10.58
513,Posevnaya,17,RU,Jul/22/2019,87,54.3,83.33,52.73,4.61
514,Talnakh,75,RU,Jul/22/2019,93,69.49,88.39,55.4,15.66
515,Alekseyevsk,40,RU,Jul/22/2019,52,57.84,108.35,64.07,6.31
516,Japura,84,ID,Jul/22/2019,93,-0.42,102.29,73.79,2.04
517,Dabat,100,ET,Jul/22/2019,93,12.98,37.77,64.43,1.66
518,Port Shepstone,0,ZA,Jul/22/2019,14,-30.74,30.45,63.89,11.05
519,Mahebourg,68,MU,Jul/22/2019,86,-20.41,57.7,66,14.79
520,Arrifes,75,PT,Jul/22/2019,100,37.77,-25.7,69.8,8.05
521,Laguna,40,BZ,Jul/22/2019,74,16.17,-88.94,86,6.93
522,Zhigansk,17,RU,Jul/22/2019,31,66.77,123.37,64.79,7.4
523,Dunedin,99,NZ,Jul/22/2019,94,-45.87,170.5,51.01,9.28
524,Urusha,75,RU,Jul/22/2019,60,54.05,122.9,62.09,11.25
525,Baherden,0,TM,Jul/22/2019,13,38.44,57.43,77.21,5.46
526,Khandyga,0,RU,Jul/22/2019,30,62.65,135.58,64.61,15.32
527,Maloy,76,ID,Jul/22/2019,93,1,118.1,75.59,2.06
528,Svecha,86,RU,Jul/22/2019,94,58.28,47.52,54.71,4.99
529,Wenling,45,CN,Jul/22/2019,80,28.38,121.38,91,7
530,Bull Savanna,66,JM,Jul/22/2019,75,17.89,-77.59,83.15,16.53
531,Zinder,43,NE,Jul/22/2019,56,13.81,8.99,83.51,11.83
532,Yar-Sale,14,RU,Jul/22/2019,76,66.83,70.83,52.73,13.33
533,Rotifunk,100,SL,Jul/22/2019,93,8.23,-12.68,74.69,1.28
534,Nerchinskiy Zavod,100,RU,Jul/22/2019,77,51.31,119.61,59.93,6.02
535,Anantapur,100,IN,Jul/22/2019,77,14.68,77.61,75.05,17.38
536,Port Hardy,40,CA,Jul/22/2019,56,50.7,-127.42,71.6,13.87
537,Tessalit,83,ML,Jul/22/2019,34,20.2,1.01,90.35,4.81
538,Oum Hadjer,97,TD,Jul/22/2019,69,13.3,19.7,82.07,6.76
539,Mount Pleasant,1,US,Jul/22/2019,62,33.16,-94.97,84.2,14.99
540,Coari,20,BR,Jul/22/2019,82,-4.09,-63.14,77.21,2.44
541,Utiel,0,ES,Jul/22/2019,57,39.57,-1.21,77,4.7
542,Canutama,25,BR,Jul/22/2019,63,-6.53,-64.38,79.19,2.37
543,Henties Bay,77,NA,Jul/22/2019,93,-22.12,14.28,53.45,2.1
544,San-Pedro,100,CI,Jul/22/2019,97,4.75,-6.64,71.45,3.58
545,Araceli,95,PH,Jul/22/2019,83,10.55,119.99,78.29,0.76
546,Nizhniy Kuranakh,0,RU,Jul/22/2019,53,58.84,125.49,64.43,6.44
547,Bambanglipuro,78,ID,Jul/22/2019,85,-7.95,110.28,73.25,6.87
548,Richards Bay,0,ZA,Jul/22/2019,40,-28.77,32.06,65.15,8.99
549,Luena,0,AO,Jul/22/2019,40,-11.78,19.91,49.49,1.9
550,Sabha,0,LY,Jul/22/2019,21,27.03,14.43,78.29,12.66
551,Dharchula,12,IN,Jul/22/2019,90,29.85,80.53,51.83,1.16
552,Gavrilov Posad,36,RU,Jul/22/2019,83,56.56,40.12,54.71,1.66
553,Chapais,90,CA,Jul/22/2019,59,49.78,-74.86,62.6,5.82
554,Menongue,9,AO,Jul/22/2019,31,-14.66,17.68,50.57,4.94
555,Batticaloa,99,LK,Jul/22/2019,77,7.71,81.69,76.13,2.93
556,Joshimath,5,IN,Jul/22/2019,85,30.57,79.57,53.81,2.44
557,Pitimbu,75,BR,Jul/22/2019,100,-7.47,-34.81,73.4,11.41
558,Aklavik,40,CA,Jul/22/2019,53,68.22,-135.01,71.6,8.05
559,Tilichiki,98,RU,Jul/22/2019,58,60.47,166.1,56.87,2.98
560,Lieksa,0,FI,Jul/22/2019,74,63.32,30.02,54.71,0.38
561,Nueva Helvecia,100,UY,Jul/22/2019,94,-34.28,-57.23,48,1.01
562,Isangel,75,VU,Jul/22/2019,60,-19.55,169.27,73.4,5.82
563,Kysyl-Syr,0,RU,Jul/22/2019,42,63.9,122.77,65.87,3.91
564,Mount Gambier,75,AU,Jul/22/2019,87,-37.83,140.78,48.2,8.05
565,Moundou,64,TD,Jul/22/2019,86,8.57,16.07,71.45,1.63
566,Fallon,1,US,Jul/22/2019,34,46.84,-105.12,82.99,12.75
567,North Myrtle Beach,1,US,Jul/22/2019,83,33.83,-78.68,84.2,16.11
568,Port Macquarie,0,AU,Jul/22/2019,52,-31.43,152.91,73.99,5.82
569,Huainan,88,CN,Jul/22/2019,70,32.59,117.01,88.01,6.13
570,Udachnyy,0,RU,Jul/22/2019,33,66.42,112.4,71.6,4.47
571,Praxedis Guerrero,1,MX,Jul/22/2019,27,31.37,-106.02,89.6,17.22
572,Athabasca,22,CA,Jul/22/2019,61,54.72,-113.29,76.49,9.75
